id,latitude,longitude,price,neighbourhood_cleansed,review_scores_rating,availability_365
8053481,37.75416621,-122.4215336,$220.00 ,Mission,96,45
936209,37.75949488,-122.4248737,$162.00 ,Mission,96,352
7048973,37.76099687,-122.4131237,$230.00 ,Mission,89,231
7998215,37.75054282,-122.4165585,$173.00 ,Mission,100,332
10406646,37.75724642,-122.4093147,$250.00 ,Mission,92,15
4558566,37.74932935,-122.4107925,$300.00 ,Mission,93,128
2771688,37.7513531,-122.4176588,$189.00 ,Mission,92,355
5020057,37.75199246,-122.4042105,$130.00 ,Mission,98,328
4925354,37.76652079,-122.4246601,$95.00 ,Mission,94,220
13863669,37.75995514,-122.4241064,$325.00 ,Mission,91,54
5394755,37.75870167,-122.42124,$119.00 ,Mission,95,302
8861480,37.76147949,-122.4157135,$134.00 ,Mission,100,273
14139656,37.75939066,-122.4211674,$490.00 ,Mission,100,43
7802522,37.74961782,-122.4181314,$140.00 ,Mission,100,365
15470227,37.75958581,-122.4100011,$185.00 ,Mission,94,30
1117756,37.7505213,-122.4073568,$113.00 ,Mission,97,286
4624467,37.75506955,-122.4168171,$169.00 ,Mission,98,365
856123,37.7622065,-122.4198954,$186.00 ,Mission,100,90
865873,37.76251893,-122.4242846,$250.00 ,Mission,98,68
15566812,37.75866765,-122.42388,$200.00 ,Mission,100,19
16173016,37.76148205,-122.4092539,$200.00 ,Mission,95,250
63405,37.75399609,-122.4177063,$125.00 ,Mission,93,322
2049672,37.76249605,-122.422603,$575.00 ,Mission,95,67
16272594,37.7580424,-122.4211011,$65.00 ,Mission,97,57
11259062,37.75239754,-122.4244804,$159.00 ,Mission,99,328
4533440,37.76862344,-122.4244366,$100.00 ,Mission,98,300
1623609,37.75942336,-122.4075424,$155.00 ,Mission,98,86
591431,37.75065685,-122.4234918,$450.00 ,Mission,83,26
9351735,37.74944922,-122.4095556,$250.00 ,Mission,92,79
6926901,37.75641542,-122.4128513,$300.00 ,Mission,97,96
1339473,37.75440053,-122.412507,$230.00 ,Mission,91,343
10792779,37.75780405,-122.4214434,$95.00 ,Mission,93,15
5414237,37.74970235,-122.4066375,$90.00 ,Mission,95,336
6954332,37.76645745,-122.4253543,$95.00 ,Mission,95,228
815123,37.75110865,-122.4187323,$130.00 ,Mission,100,9
1388523,37.75526258,-122.4249664,"$4,000.00 ",Mission,94,362
765914,37.75691789,-122.4111644,$349.00 ,Mission,98,365
225205,37.76096715,-122.4231305,$115.00 ,Mission,94,55
6795192,37.75849371,-122.4157999,$170.00 ,Mission,100,56
5775177,37.74825404,-122.4176816,$115.00 ,Mission,100,347
8907289,37.75267808,-122.4075329,$133.00 ,Mission,99,67
8384398,37.75618418,-122.421447,$200.00 ,Mission,98,4
16363397,37.76313587,-122.4079654,$80.00 ,Mission,100,8
1356129,37.75083547,-122.4234114,$145.00 ,Mission,92,49
16178751,37.75913346,-122.4196755,$185.00 ,Mission,100,13
16351934,37.76171887,-122.4234831,$175.00 ,Mission,98,12
2074584,37.76025251,-122.4166307,$206.00 ,Mission,96,55
765739,37.75104087,-122.4186658,$575.00 ,Mission,100,12
9525911,37.76764528,-122.4239505,$120.00 ,Mission,100,359
14773204,37.76667538,-122.4170325,$105.00 ,Mission,94,331
5470034,37.76054446,-122.421676,$59.00 ,Mission,83,267
