k,neighbourhood
,Bayview
,Bernal Heights
,Castro/Upper Market
,Chinatown
x,Crocker Amazon
?,Diamond Heights
y,Downtown/Civic Center
x,Excelsior
x,Financial District
x,Glen Park
,Golden Gate Park
,Haight Ashbury
,Inner Richmond
,Inner Sunset
,Lakeshore
,Marina
,Mission
,Nob Hill
x,Noe Valley
,North Beach
,Ocean View
,Outer Mission
,Outer Richmond
,Outer Sunset
,Pacific Heights
,Parkside
,Potrero Hill
,Presidio
,Presidio Heights
,Russian Hill
,Seacliff
,South of Market
,Treasure Island/YBI
,Twin Peaks
,Visitacion Valley
,West of Twin Peaks
,Western Addition
